
INO -0.372 10.63 12.140 13.800	10.280
AQST -0.333 5.030 4.970	5.460 4.720
UONEK -0.230 1.25 1.29 1.54 1.14
AIHS -0.177 0.630 0.700	0.797 0.62
OGEN -0.164 0.549 0.556	0.60 0.53
SMMCU -0.79 11.05 11 11.05 11
BTNC -0.407 2.9 3.03 3.2 2.75
SYN -0.384 0.261 0.317	0.33 0.261
MESO -0.36 11.91 12.03 13.74 11.09 
HCCHW -0.26 2.05 2.29 2.37 1.975
CCX-WS -0.188 1.76 1.43 1.76 1.35
SMMCU -0.182 10.76 10.76 10.76 10.76
RMG-WS -0.14 2.62 1.95 2.65 1.78
IGIC -0.116 7.75 7.68 8.20 7.68
MLSS -0.114 1.58 1.64 1.68 1.51
ELSE -0.296 5.96 5.18 6.17 4.92
RCMT -0.214 1.46 1.48 1.52 1.35
DFHTW -0.207 1.5 1.55 1.55 1.5
APWC -0.19 2.08 1.79 2.26 1.62
CLSK -0.179 10.18 10.75 11.89 10.15
SHIPZ -0.279 0.031 0.03 0.042 0.029
INTZ -0.255 8.4 9.31 11.35 8.25
PIXY -0.254 2.69 2.79 2.8 2.68
OEG -0.176 0.88 0.9 0.928 0.84
ARTL -0.165 0.775 0.862 0.89 0.76
LOOP -0.333 7.75 7.83 8.69 7.11
GOSS -0.313 9.44 10.09 10.74	8.22
WAFU -0.297 4.8 4.72 4.84 4.56
MDLY -0.198 0.89 0.83 0.99 0.81
HX -0.196 2.09 2.08 2.35 1.91
CYCN -0.414 4.091 3.35 4.22 3.16
SRTS -0.131 2.82 2.73 2.82 2.684
ENZ -0.13 2.24 2.16 2.28 2.1
AMC -0.13 3.09 2.96 3.2 2.66
SRNE -0.121 10.51 10.1 10.84 10.02
PAVMW -0.342 1.25 0.7 1.25 0.46
BCDAW -0.304 0.9 1.35 1.35 0.9
EVKEVK -0.295 4.58 3.7 4.635 3.65
KXIN -0.253 6.56 4.9 6.58 4.82
SCPH -0.402 5.06 5.63 6.54 5.06
GLBS -0.267 7.69 7.4 7.72 7.2
LYRA -0.265 9.49 9.32 10.05	8.76
APTO -0.168 4.514 5.09 5.14 3.934
ASYS -0.063 7.01 6.68 7.01 6.53
NBRV -0.282 2.44 2.44 2.57 2.31
SLRX -0.267 1.008 0.92 1.02 0.886
AYTU -0.257 6.04 6.28 6.44 6
SLS -0.24 13.310 8.370 14.400 7.87
IPDN -0.235 1.590 1.500	1.629 1.46
CCM -0.39 3.230 3.300 3.500 2.91
VTVT -0.337 1.950 2.300 2.450 1.92
