
BFRA 0.3374 9.9000 8.7800 10.7500 8.2500
AVGR 0.3263 0.5550 0.3651 0.5800 0.3630
TAOP 0.2714 3.5600 3.0300 3.8000 2.5700
USWS 0.2102 0.3000 0.2490 0.3000 0.2430
LAUR 0.1693 14.2300 13.2900 15.4600 13.1400
ENSV 0.7527 0.2240 0.1790 0.2800 0.1733
AVCTW 0.4074 0.3000 0.3181 0.3700 0.3000
NAK 0.2760 1.2100 1.1400 1.2200 1.0800
SRNE 0.2584 10.5200 9.4800 10.6000 9.0500
MLHR 0.1810 30.5600 34.5500 35.1900 30.0100
ZOM 0.5571 0.1080 0.1000 0.1140 0.0950
AMPE 0.3278 1.2500 1.0800 1.3900 1.0300
ONTX 0.2430 0.3985 0.3630 0.4390 0.3520
NTN 0.1910 2.0760 2.4000 2.7900 1.8300
VRME 0.1720 3.6100 3.6200 4.0500 3.2270
SPI 2.3890 3.5400 14.0000 46.6700 3.3000
POAI 0.2534 1.0600 0.9866 1.1500 0.9157
ACET 0.2285 12.5100 11.2700 14.9300 11.1000
TRXC 0.2240 0.4050 0.3623 0.4280 0.3522
MNOV 0.2058 6.6600 5.9900 6.7600 5.7100
PLL 2.3636 36.9800 37.0000 54.5000 26.8000
AMBO 1.7459 2.3100 4.0900 6.4300 2.3100
PRCP 0.6699 6.8400 6.8200 6.8500 6.7900
OXBR 0.4579 1.5500 2.9500 9.6200 1.5500
ENSV 0.3770 0.1743 0.1556 0.1888 0.1451
ITRM 1.5513 1.6400 1.0500 2.4400 1.0200
CTIC 1.2000 2.3100 2.1500 2.6700 1.9000
GRSV 1.1990 20.9900 10.1000 21.7400 10.00
CTEK 0.7838 1.9600 1.5700 2.5000 1.3400
MCACR 0.6667 0.7000 0.6500 0.8000 0.6500
XTNT 1.8039 2.2500 1.5700 2.5000 1.3400
LONE 1.2446 0.5401 0.3134 0.5935 0.3100
ARA 0.6402 11.3500 11.5200 11.8300 11.3100
NNOX 0.3000 31.2200 37.4400 38.5000 29.3700
NSPR-WS	0.2184 0.0120 0.0288 0.0289	0.0120
GRNQ 1.2661 2.4700 1.8600 2.7400 1.7500
MYOK 0.5800 220.6800 220.3400 224.0000 219.7200
CRVS 0.4005 5.7100 4.8600 5.7400 4.7800
LOAK-WS	0.4000 1.9400 1.6200 1.9500 1.4100
HGEN 0.3391 13.1900 12.1400 13.3200 11.5100
RAVE 2.8521 1.9810 1.1700 2.0200 0.9200
AREC 0.8971 3.0900 2.6000 4.9300 2.4700
PECK 0.8760 13.0400 10.5000 14.4200 10.2200
SUNW 0.6321 4.5900 4.0600 4.8500 3.7300
TLC 0.4727 6.4800 5.9400 7.1000 5.5100
SNMP 2.2973 1.2500 0.7250 1.6000 0.7250
USWS 0.8046 0.5785 0.4367 0.6398 0.3810
SDPI 0.7706 0.7300 0.6000 0.9200 0.5320
VVPR 0.5738 15.8400 16.2800 24.3300 14.1000
USWSW 0.5500 0.0300 0.0300 0.0420 0.0230
PED 0.8860 2.5000 1.8000 2.5500 1.6400
JILL 0.6791 1.1000 0.8899 1.1500 0.8000
MDGS 0.5979 3.0000 2.8900 3.9900 2.8200
MDGSW 0.5789 0.2600 0.3300 0.4700 0.2000
AMCIW 0.5664 1.0800 0.8000 1.1200 0.7700
MDRR 0.7167 2.0200 2.8500 6.1300 1.9900
NOVN 0.6152 0.7430 0.5710 0.7500 0.5580
IXDG 0.3725 4.0900 3.9600 5.7200 3.7600
OCX  0.3562 1.9600 1.7500 2.1400 1.6500
MDRX 0.3369 11.0900 10.9000 11.3800 10.5700
ABCL 1.945 61.00 58.90 71.91 48.98
TPGY-WS 1.7013 6.25 6.24 7.00 5.22
TPGY 1.1622 27.29 24.00 27.66 21.77
TPGY-U 1.0777 27.73 23.27 28.11 22.65
HJLIW 0.8103 0.0715 0.1756 0.2100 0.0715
AEMD 0.8025 2.910 2.260 3.070 2.140
